,vote
332,trump
333,biden
334,trump
335,trump
336,trump
337,biden
338,biden
339,trump
340,trump
341,biden
342,biden
343,trump
344,biden
345,biden
346,trump
347,biden
348,trump
349,trump
350,biden
351,trump
352,trump
353,biden
354,trump
355,trump
356,trump
357,biden
358,biden
359,trump
360,biden
361,biden
362,trump
363,biden
364,trump
365,trump
366,biden
367,biden
368,biden
369,trump
370,trump
371,biden
372,biden
373,biden
374,trump
375,trump
376,trump
377,biden
378,biden
379,trump
380,trump
381,trump
382,trump
383,biden
384,biden
385,trump
386,biden
387,biden
388,biden
389,biden
390,biden
391,biden
392,trump
393,trump
394,biden
395,trump
396,biden
397,biden
398,biden
399,biden
400,biden
401,biden
402,trump
403,biden
404,trump
405,trump
406,trump
407,biden
408,biden
409,biden
410,trump
411,trump
412,biden
413,trump
414,biden
415,biden
416,biden
417,trump
418,trump
419,trump
420,trump
421,biden
422,biden
423,biden
424,trump
425,biden
426,trump
427,biden
428,trump
429,biden
430,trump
431,trump
432,trump
433,trump
434,trump
435,biden
436,biden
437,biden
438,biden
439,trump
440,biden
441,trump
442,trump
443,trump
444,biden
445,trump
446,biden
447,biden
448,biden
449,trump
450,trump
451,biden
452,trump
453,biden
454,biden
455,trump
456,biden
457,trump
458,biden
459,trump
460,biden
461,trump
462,trump
463,trump
464,trump
465,trump
466,biden
467,trump
468,trump
469,biden
470,trump
471,biden
472,biden
473,trump
474,trump
475,trump
476,trump
477,trump
478,biden
479,biden
480,trump
481,biden
482,biden
483,trump
484,biden
485,trump
486,biden
487,biden
488,trump
489,biden
490,trump
491,biden
492,biden
493,trump
494,biden
495,biden
496,biden
497,biden
498,trump
499,trump
500,trump
501,biden
502,biden
503,trump
504,biden
505,trump
506,trump
507,biden
508,biden
509,biden
510,biden
511,biden
512,biden
513,trump
514,trump
515,trump
516,trump
517,biden
518,trump
519,biden
520,trump
521,biden
522,biden
523,trump
524,trump
525,biden
526,biden
527,biden
528,trump
529,trump
530,biden
531,trump
532,biden
533,trump
534,trump
535,biden
536,biden
537,biden
538,trump
539,biden
540,biden
541,trump
542,biden
543,trump
544,biden
545,biden
546,trump
547,biden
548,biden
549,trump
550,trump
551,trump
552,biden
553,biden
554,trump
555,biden
556,biden
557,trump
558,biden
559,trump
560,biden
561,biden
562,trump
563,biden
564,trump
565,biden
566,biden
567,trump
568,trump
569,biden
570,trump
571,trump
572,trump
573,biden
574,biden
575,trump
576,trump
577,biden
578,trump
579,trump
580,trump
581,trump
582,trump
583,trump
584,trump
585,biden
586,trump
587,trump
588,trump
589,biden
590,biden
591,trump
592,trump
593,biden
594,biden
595,trump
596,biden
597,trump
598,biden
599,biden
600,trump
601,biden
602,trump
603,trump
604,trump
605,biden
606,trump
607,trump
608,biden
609,biden
610,trump
611,biden
612,biden
613,biden
614,biden
615,biden
616,trump
617,biden
618,trump
619,biden
620,biden
621,trump
622,biden
623,biden
624,trump
625,biden
626,trump
627,biden
628,biden
629,biden
630,biden
631,trump
632,trump
633,trump
634,trump
635,biden
636,biden
637,trump
638,biden
639,biden
640,biden
641,trump
642,biden
643,trump
644,trump
645,trump
646,biden
647,biden
648,trump
649,biden
650,trump
651,biden
652,trump
653,biden
654,trump
655,biden
656,trump
657,trump
658,biden
659,trump
660,trump
661,biden
662,biden
663,trump
664,biden
665,biden
666,trump
667,trump
668,biden
669,trump
670,biden
671,trump
672,biden
673,trump
674,trump
675,trump
676,biden
677,biden
678,biden
679,biden
680,trump
681,biden
682,trump
683,trump
684,trump
685,trump
686,biden
687,biden
688,biden
689,biden
690,trump
691,biden
692,trump
693,trump
694,trump
695,trump
696,biden
697,biden
698,trump
699,biden
700,trump
701,biden
702,biden
703,biden
704,trump
705,trump
706,trump
707,biden
708,biden
709,biden
710,trump
711,biden
712,biden
713,biden
714,trump
715,biden
716,biden
717,trump
718,biden
719,biden
720,biden
721,biden
722,biden
723,biden
724,trump
725,trump
726,trump
727,trump
728,trump
729,trump
730,trump
731,biden
732,trump
733,trump
734,biden
735,biden
736,trump
737,trump
738,trump
739,trump
740,trump
741,trump
742,trump
743,biden
744,trump
745,trump
746,biden
747,biden
748,biden
749,biden
750,biden
751,trump
752,biden
753,trump
754,trump
755,biden
756,trump
757,biden
758,trump
759,biden
760,biden
761,biden
762,biden
763,biden
764,biden
765,biden
766,trump
767,trump
768,trump
769,trump
770,biden
771,biden
772,biden
773,biden
774,biden
775,biden
776,trump
777,trump
778,trump
779,biden
780,biden
781,trump
782,biden
783,biden
784,biden
785,biden
786,biden
787,biden
788,biden
789,biden
790,biden
791,trump
792,biden
793,biden
794,biden
795,biden
796,trump
797,trump
798,trump
799,biden
800,biden
801,trump
802,biden
803,trump
804,trump
805,trump
806,biden
807,biden
808,trump
809,biden
810,biden
811,trump
812,trump
813,biden
814,trump
815,trump
816,trump
817,biden
818,trump
819,biden
820,biden
821,trump
822,biden
823,biden
824,biden
825,trump
826,biden
827,biden
828,biden
829,biden
830,biden
831,biden
832,trump
833,biden
834,trump
835,trump
836,trump
837,trump
838,trump
839,biden
840,biden
841,trump
842,biden
843,biden
844,biden
845,trump
846,trump
847,trump
848,biden
849,biden
850,trump
851,trump
852,trump
853,trump
854,biden
855,trump
856,biden
857,biden
858,trump
859,trump
860,biden
861,trump
862,biden
863,trump
864,biden
865,trump
866,biden
867,biden
868,biden
869,biden
870,biden
871,biden
872,biden
873,trump
874,trump
875,biden
876,trump
877,trump
878,trump
879,biden
880,biden
881,trump
882,biden
883,biden
884,biden
885,biden
886,trump
887,trump
888,biden
889,biden
890,biden
891,trump
892,biden
893,biden
894,trump
895,trump
896,trump
897,trump
898,trump
899,trump
900,biden
901,biden
902,biden
903,trump
904,trump
905,biden
906,trump
907,biden
908,trump
909,trump
910,trump
911,biden
912,trump
913,biden
914,trump
915,biden
916,trump
917,trump
918,biden
919,biden
920,biden
921,biden
922,trump
923,biden
924,biden
925,trump
926,biden
927,biden
928,trump
929,biden
930,trump
931,trump
932,trump
933,trump
934,biden
935,biden
936,biden
937,biden
938,biden
939,biden
940,biden
941,trump
942,trump
943,biden
944,biden
945,biden
946,biden
947,biden
948,trump
949,trump
950,trump
951,biden
952,trump
953,biden
954,trump
955,trump
956,biden
957,biden
958,trump
959,trump
960,biden
961,biden
962,biden
963,biden
964,biden
965,biden
966,biden
967,trump
968,trump
969,trump
970,trump
971,trump
972,trump
973,trump
974,biden
975,biden
976,trump
977,trump
978,biden
979,trump
980,biden
981,trump
982,biden
983,biden
984,biden
985,biden
986,biden
987,biden
988,biden
989,trump
990,biden
991,biden
992,biden
993,trump
994,trump
995,biden
996,biden
997,biden
998,biden
999,biden
1000,trump
1001,biden
1002,trump
1003,trump
1004,trump
1005,trump
1006,trump
1007,biden
1008,trump
1009,trump
1010,trump
1011,trump
1012,trump
1013,biden
1014,biden
1015,biden
1016,biden
1017,trump
1018,biden
1019,biden
1020,trump
1021,biden
1022,trump
1023,biden
1024,trump
1025,biden
1026,biden
1027,biden
1028,biden
1029,biden
1030,biden
1031,biden
1032,biden
1033,trump
1034,trump
1035,biden
1036,trump
1037,biden
1038,biden
1039,trump
1040,trump
1041,trump
1042,trump
1043,trump
1044,biden
1045,trump
1046,biden
1047,trump
1048,trump
1049,trump
1050,trump
1051,trump
1052,biden
1053,biden
1054,trump
1055,biden
1056,biden
1057,trump
1058,biden
1059,biden
1060,biden
1061,trump
1062,trump
1063,trump
1064,biden
1065,biden
1066,biden
1067,biden
1068,trump
1069,trump
1070,biden
1071,trump
1072,trump
1073,trump
1074,trump
1075,biden
1076,biden
1077,biden
1078,biden
1079,biden
1080,trump
1081,trump
1082,biden
1083,trump
1084,biden
1085,trump
1086,trump
1087,biden
1088,trump
1089,trump
1090,biden
1091,biden
1092,biden
1093,trump
1094,trump
1095,trump
1096,trump
1097,biden
1098,trump
1099,trump
1100,trump
1101,trump
1102,biden
1103,biden
1104,trump
1105,trump
1106,biden
1107,trump
1108,trump
1109,trump
1110,biden
1111,biden
1112,biden
1113,trump
1114,trump
1115,trump
1116,biden
1117,biden
1118,trump
1119,biden
1120,trump
1121,trump
1122,trump
1123,trump
1124,trump
1125,biden
1126,trump
1127,biden
1128,trump
1129,trump
1130,biden
1131,trump
1132,biden
1133,biden
1134,trump
1135,trump
1136,biden
1137,trump
1138,biden
1139,trump
1140,biden
1141,biden
1142,biden
1143,biden
1144,trump
1145,trump
1146,biden
1147,trump
1148,trump
1149,trump
1150,trump
1151,trump
1152,biden
1153,biden
1154,biden
1155,trump
1156,trump
1157,biden
1158,biden
1159,biden
1160,trump
1161,biden
1162,biden
1163,biden
1164,trump
1165,trump
1166,trump
1167,biden
1168,trump
1169,biden
1170,trump
1171,biden
1172,biden
1173,trump
1174,trump
1175,trump
1176,biden
1177,trump
1178,biden
1179,biden
1180,biden
1181,trump
1182,trump
1183,biden
1184,trump
1185,biden
1186,biden
1187,trump
1188,trump
1189,trump
1190,trump
1191,biden
1192,trump
1193,trump
1194,biden
1195,trump
1196,biden
1197,biden
1198,trump
1199,biden
1200,biden
1201,biden
1202,trump
1203,trump
1204,biden
1205,trump
1206,biden
1207,trump
1208,biden
1209,trump
1210,trump
1211,trump
1212,trump
1213,trump
1214,trump
1215,biden
1216,trump
1217,trump
1218,trump
1219,trump
1220,trump
1221,trump
1222,biden
1223,trump
1224,biden
1225,trump
1226,trump
1227,trump
1228,trump
1229,trump
1230,biden
1231,biden
1232,trump
1233,trump
1234,biden
1235,trump
1236,biden
1237,trump
1238,trump
1239,biden
1240,trump
1241,trump
1242,trump
1243,trump
1244,trump
1245,trump
1246,trump
1247,trump
1248,trump
1249,trump
1250,trump
1251,trump
1252,trump
1253,trump
1254,trump
1255,trump
1256,biden
1257,biden
1258,trump
1259,biden
1260,biden
1261,biden
1262,trump
1263,trump
1264,biden
1265,biden
1266,trump
1267,biden
1268,trump
1269,trump
1270,biden
1271,biden
1272,biden
1273,biden
1274,biden
1275,trump
1276,biden
1277,trump
1278,biden
1279,trump
1280,biden
1281,trump
1282,biden
1283,trump
1284,trump
1285,biden
1286,trump
1287,biden
1288,trump
1289,trump
1290,trump
1291,trump
1292,biden
1293,biden
1294,trump
1295,trump
1296,biden
1297,biden
1298,biden
1299,biden
1300,biden
1301,trump
1302,biden
1303,trump
1304,trump
1305,biden
1306,trump
1307,biden
1308,biden
1309,trump
1310,trump
1311,biden
1312,trump
1313,trump
1314,biden
1315,biden
1316,trump
1317,trump
1318,biden
1319,trump
1320,trump
1321,biden
1322,biden
1323,biden
1324,trump
1325,trump
1326,biden
1327,trump
1328,trump
1329,biden
1330,trump
1331,biden
1332,biden
1333,trump
1334,trump
1335,biden
1336,biden
1337,biden
1338,biden
1339,biden
1340,trump
1341,trump
1342,biden
1343,trump
1344,biden
1345,trump
1346,biden
1347,biden
1348,trump
1349,trump
1350,trump
1351,biden
1352,trump
1353,trump
1354,trump
1355,biden
1356,biden
1357,trump
1358,trump
1359,biden
1360,biden
1361,trump
1362,biden
1363,biden
1364,biden
1365,biden
1366,trump
1367,trump
1368,biden
1369,trump
1370,biden
1371,trump
1372,biden
1373,trump
1374,trump
1375,biden
1376,trump
1377,trump
1378,biden
1379,biden
1380,biden
1381,biden
1382,trump
1383,biden
1384,trump
1385,biden
1386,biden
1387,biden
1388,trump
1389,trump
1390,biden
1391,trump
1392,biden
1393,trump
1394,biden
1395,biden
1396,biden
1397,trump
1398,trump
1399,biden
1400,biden
1401,biden
1402,trump
1403,trump
1404,biden
1405,trump
1406,trump
1407,biden
1408,trump
1409,biden
1410,trump
1411,trump
1412,biden
1413,trump
1414,trump
1415,biden
1416,biden
1417,biden
1418,biden
1419,trump
1420,trump
1421,trump
1422,biden
1423,biden
1424,trump
1425,trump
1426,biden
1427,biden
1428,trump
1429,biden
1430,biden
1431,biden
1432,trump
1433,trump
1434,trump
1435,trump
1436,trump
1437,trump
1438,trump
1439,biden
1440,trump
1441,trump
1442,biden
1443,biden
1444,trump
1445,trump
1446,biden
1447,biden
1448,biden
1449,trump
1450,biden
1451,trump
1452,biden
1453,trump
1454,trump
1455,biden
1456,biden
1457,biden
1458,biden
1459,biden
1460,trump
1461,trump
1462,biden
1463,trump
1464,trump
1465,biden
1466,trump
1467,biden
1468,biden
1469,trump
1470,trump
1471,trump
1472,trump
1473,biden
1474,biden
1475,biden
1476,trump
1477,biden
1478,trump
1479,trump
1480,trump
1481,biden
1482,trump
1483,trump
1484,trump
1485,trump
1486,trump
1487,biden
1488,biden
1489,trump
1490,trump
1491,biden
1492,biden
1493,biden
1494,trump
1495,trump
1496,trump
1497,trump
1498,trump
1499,biden
1500,trump
1501,biden
1502,trump
1503,biden
1504,biden
1505,trump
1506,trump
1507,trump
1508,biden
1509,biden
1510,trump
1511,trump
1512,trump
1513,trump
1514,biden
1515,trump
1516,biden
1517,trump
1518,trump
1519,biden
1520,trump
1521,trump
1522,biden
1523,biden
1524,biden
1525,biden
1526,trump
1527,trump
1528,trump
1529,trump
1530,trump
1531,trump
1532,trump
1533,biden
1534,biden
1535,biden
1536,trump
1537,trump
1538,trump
1539,biden
1540,trump
1541,biden
1542,trump
1543,trump
1544,trump
1545,trump
1546,biden
1547,trump
1548,trump
1549,trump
1550,trump
1551,biden
1552,biden
1553,biden
1554,biden
1555,biden
1556,trump
1557,trump
1558,biden
1559,biden
1560,trump
1561,trump
1562,trump
1563,trump
1564,trump
1565,trump
1566,trump
1567,trump
1568,trump
1569,trump
1570,biden
1571,trump
1572,biden
1573,trump
1574,trump
1575,biden
1576,trump
1577,biden
1578,trump
1579,trump
1580,biden
1581,trump
1582,trump
1583,biden
1584,trump
1585,biden
1586,trump
1587,biden
1588,biden
1589,trump
1590,trump
1591,trump
1592,biden
1593,biden
1594,biden
1595,trump
1596,biden
1597,biden
1598,trump
1599,trump
1600,biden
1601,biden
1602,trump
1603,biden
1604,trump
1605,biden
1606,biden
1607,trump
1608,biden
1609,biden
1610,trump
1611,trump
1612,biden
1613,trump
1614,trump
1615,biden
1616,biden
1617,trump
1618,biden
1619,trump
1620,trump
1621,trump
1622,trump
1623,trump
1624,trump
1625,trump
1626,trump
1627,trump
1628,biden
1629,trump
1630,trump
1631,biden
1632,trump
1633,trump
1634,biden
1635,trump
1636,trump
1637,trump
1638,biden
1639,biden
1640,biden
1641,trump
1642,trump
1643,trump
1644,biden
1645,trump
1646,trump
1647,trump
1648,trump
1649,biden
1650,trump
1651,trump
1652,trump
1653,biden
1654,biden
1655,trump
1656,biden
1657,biden
1658,trump
1659,biden
1660,biden
1661,trump
1662,biden
1663,trump
1664,trump
1665,biden
1666,biden
1667,trump
1668,trump
1669,biden
1670,biden
1671,biden
1672,trump
1673,trump
1674,biden
1675,biden
1676,trump
1677,trump
1678,trump
1679,trump
1680,biden
1681,biden
1682,biden
1683,trump
1684,trump
1685,trump
1686,trump
1687,trump
1688,biden
1689,trump
1690,trump
1691,biden
1692,trump
1693,trump
1694,biden
1695,trump
1696,biden
1697,biden
1698,trump
1699,trump
1700,trump
1701,biden
1702,biden
1703,trump
1704,biden
1705,biden
1706,biden
1707,biden
1708,biden
1709,biden
1710,trump
1711,trump
1712,biden
1713,trump
1714,trump
1715,trump
1716,trump
1717,trump
1718,biden
1719,biden
1720,trump
1721,trump
1722,biden
1723,biden
1724,biden
1725,biden
1726,trump
1727,trump
1728,trump
1729,biden
1730,biden
1731,biden
1732,biden
1733,trump
1734,biden
1735,trump
1736,biden
1737,biden
1738,biden
1739,biden
1740,trump
1741,trump
1742,trump
1743,biden
1744,biden
1745,biden
1746,biden
1747,biden
1748,trump
1749,biden
1750,biden
1751,trump
1752,biden
1753,trump
1754,biden
1755,biden
1756,trump
1757,trump
1758,trump
1759,biden
1760,biden
1761,trump
1762,trump
1763,trump
1764,biden
1765,biden
1766,trump
1767,biden
1768,trump
1769,trump
1770,biden
1771,trump
1772,trump
1773,trump
1774,trump
1775,trump
1776,trump
1777,trump
1778,trump
1779,trump
1780,biden
1781,biden
1782,biden
1783,biden
1784,trump
1785,trump
1786,biden
1787,biden
1788,trump
1789,biden
1790,trump
1791,biden
1792,trump
1793,trump
1794,biden
1795,trump
1796,biden
1797,biden
1798,trump
1799,trump
1800,biden
1801,biden
1802,biden
1803,biden
1804,trump
1805,biden
1806,trump
1807,trump
1808,trump
1809,biden
1810,trump
1811,trump
1812,biden
1813,trump
1814,biden
1815,biden
1816,trump
1817,biden
1818,trump
1819,trump
1820,biden
1821,trump
1822,biden
1823,biden
1824,trump
1825,trump
1826,biden
1827,trump
1828,trump
1829,biden
1830,biden
1831,biden
1832,biden
1833,trump
1834,trump
1835,trump
1836,trump
1837,biden
1838,biden
1839,trump
1840,trump
1841,biden
1842,biden
1843,biden
1844,biden
1845,trump
1846,biden
1847,biden
1848,trump
1849,biden
1850,biden
1851,biden
1852,trump
1853,biden
1854,biden
1855,trump
1856,trump
1857,biden
1858,trump
1859,biden
1860,trump
1861,trump
1862,biden
1863,trump
1864,biden
1865,trump
1866,trump
1867,trump
1868,trump
1869,trump
1870,trump
1871,trump
1872,trump
1873,trump
1874,biden
1875,trump
1876,trump
1877,trump
1878,biden
1879,biden
1880,biden
1881,trump
1882,trump
1883,trump
1884,biden
1885,biden
1886,trump
1887,trump
1888,trump
1889,trump
1890,biden
1891,trump
1892,trump
1893,biden
1894,trump
1895,biden
1896,trump
1897,trump
1898,trump
1899,biden
1900,trump
1901,biden
1902,biden
1903,biden
1904,trump
1905,biden
1906,biden
1907,biden
1908,trump
1909,biden
1910,trump
1911,trump
1912,trump
1913,biden
1914,trump
1915,trump
1916,biden
1917,trump
1918,trump
1919,biden
1920,trump
1921,biden
1922,trump
1923,trump
1924,trump
1925,trump
1926,biden
1927,trump
1928,biden
1929,biden
1930,biden
1931,trump
1932,trump
1933,biden
1934,biden
1935,biden
1936,trump
1937,trump
1938,biden
1939,trump
1940,trump
1941,biden
1942,trump
1943,biden
1944,trump
1945,biden
1946,biden
1947,trump
1948,biden
1949,trump
1950,biden
1951,biden
1952,biden
1953,biden
1954,biden
1955,biden
1956,trump
1957,biden
1958,trump
1959,trump
1960,biden
1961,trump
1962,trump
1963,trump
1964,trump
1965,trump
1966,trump
1967,biden
1968,trump
1969,trump
1970,biden
1971,trump
1972,biden
1973,biden
1974,trump
1975,trump
1976,trump
1977,biden
1978,trump
1979,trump
1980,biden
1981,trump
1982,trump
1983,trump
1984,trump
1985,biden
1986,biden
1987,trump
1988,biden
1989,biden
1990,biden
1991,trump
1992,biden
1993,biden
1994,trump
1995,trump
1996,biden
1997,biden
1998,biden
1999,trump
2000,biden
2001,trump
2002,trump
2003,biden
2004,biden
2005,trump
2006,trump
2007,trump
2008,biden
2009,trump
2010,biden
2011,trump
2012,biden
2013,trump
2014,trump
2015,trump
2016,biden
2017,biden
2018,trump
2019,biden
2020,trump
2021,biden
2022,biden
2023,biden
2024,biden
2025,trump
2026,trump
2027,trump
2028,biden
2029,trump
2030,biden
2031,trump
2032,trump
2033,biden
2034,biden
2035,biden
2036,trump
2037,biden
2038,biden
2039,trump
2040,biden
2041,trump
2042,trump
2043,trump
2044,biden
2045,trump
2046,biden
2047,trump
2048,trump
2049,trump
2050,biden
2051,trump
2052,trump
2053,trump
2054,biden
2055,trump
2056,trump
2057,trump
2058,trump
2059,trump
2060,biden
2061,trump
2062,trump
2063,biden
2064,biden
2065,trump
2066,biden
2067,trump
2068,trump
2069,trump
2070,biden
2071,biden
2072,trump
2073,biden
2074,trump
2075,biden
2076,biden
2077,trump
2078,trump
2079,biden
2080,trump
2081,trump
2082,biden
2083,trump
2084,biden
2085,trump
2086,trump
2087,trump
2088,trump
2089,biden
2090,biden
2091,trump
2092,biden
2093,biden
2094,biden
2095,biden
2096,trump
2097,trump
2098,biden
2099,trump
2100,trump
2101,biden
2102,biden
2103,biden
2104,trump
2105,biden
2106,trump
2107,trump
2108,biden
2109,trump
2110,biden
2111,trump
2112,biden
2113,biden
2114,biden
2115,biden
2116,trump
2117,biden
2118,trump
2119,biden
2120,trump
2121,trump
2122,trump
2123,biden
2124,trump
2125,trump
2126,trump
2127,biden
2128,biden
2129,biden
2130,biden
2131,trump
2132,trump
2133,biden
2134,biden
2135,biden
2136,biden
2137,trump
2138,trump
2139,trump
2140,trump
2141,trump
2142,trump
2143,biden
2144,biden
2145,trump
2146,biden
2147,trump
2148,trump
2149,trump
2150,trump
2151,trump
2152,biden
2153,biden
2154,trump
2155,trump
2156,trump
2157,trump
2158,trump
2159,trump
2160,trump
2161,biden
2162,trump
2163,trump
2164,biden
2165,biden
2166,biden
2167,trump
2168,trump
2169,biden
2170,trump
2171,biden
2172,trump
2173,trump
2174,biden
2175,trump
2176,trump
2177,biden
2178,trump
2179,biden
2180,trump
2181,trump
2182,trump
2183,biden
2184,trump
2185,trump
2186,trump
2187,biden
2188,biden
2189,trump
2190,biden
2191,trump
2192,trump
2193,trump
2194,biden
2195,biden
2196,trump
2197,trump
2198,biden
2199,biden
2200,biden
2201,biden
2202,trump
2203,biden
2204,trump
2205,biden
2206,trump
2207,trump
2208,trump
2209,trump
2210,trump
2211,trump
2212,trump
2213,biden
2214,trump
2215,trump
2216,trump
2217,trump
2218,trump
2219,biden
2220,trump
2221,biden
2222,trump
2223,trump
2224,trump
2225,trump
2226,trump
2227,trump
2228,trump
2229,biden
2230,trump
2231,biden
2232,biden
2233,biden
2234,biden
2235,trump
2236,biden
2237,trump
2238,biden
2239,biden
2240,biden
2241,trump
2242,trump
2243,biden
2244,biden
2245,biden
2246,biden
2247,biden
2248,trump
2249,trump
2250,trump
2251,trump
2252,trump
2253,biden
2254,biden
2255,trump
2256,biden
2257,biden
2258,biden
2259,biden
2260,trump
2261,biden
2262,trump
2263,biden
2264,trump
2265,trump
2266,biden
2267,trump
2268,trump
2269,trump
2270,biden
2271,biden
2272,trump
2273,biden
2274,biden
2275,trump
2276,trump
2277,biden
2278,biden
2279,trump
2280,trump
2281,biden
2282,trump
2283,biden
2284,trump
2285,trump
2286,trump
2287,biden
2288,biden
2289,trump
2290,trump
2291,trump
2292,biden
2293,biden
2294,biden
2295,biden
2296,trump
2297,biden
2298,biden
2299,biden
2300,biden
2301,trump
2302,trump
2303,biden
2304,biden
2305,trump
2306,biden
2307,trump
2308,trump
2309,biden
2310,biden
2311,trump
2312,trump
2313,trump
2314,trump
2315,trump
2316,trump
2317,trump
2318,trump
2319,trump
2320,trump
2321,biden
2322,biden
2323,biden
2324,trump
2325,trump
2326,biden
2327,trump
2328,biden
2329,biden
2330,biden
2331,trump
2332,biden
2333,biden
2334,trump
2335,biden
2336,trump
2337,biden
2338,biden
2339,trump
2340,biden
2341,trump
2342,biden
2343,trump
2344,trump
2345,biden
2346,trump
2347,trump
2348,biden
2349,biden
2350,biden
2351,biden
2352,biden
2353,biden
2354,trump
2355,trump
2356,trump
2357,biden
2358,biden
2359,biden
2360,trump
2361,trump
2362,trump
2363,biden
2364,biden
2365,trump
2366,trump
2367,trump
2368,biden
2369,biden
2370,biden
2371,trump
2372,trump
2373,biden
2374,biden
2375,biden
2376,biden
2377,biden
2378,trump
2379,trump
2380,trump
2381,trump
2382,biden
2383,biden
2384,biden
2385,trump
2386,trump
2387,trump
2388,biden
2389,trump
2390,trump
2391,trump
2392,biden
2393,biden
2394,trump
2395,trump
2396,trump
2397,biden
2398,biden
2399,trump
2400,biden
2401,trump
2402,biden
2403,trump
2404,biden
2405,trump
2406,trump
2407,trump
2408,biden
2409,biden
2410,trump
2411,trump
2412,trump
2413,biden
2414,biden
2415,trump
2416,trump
2417,biden
2418,biden
2419,trump
2420,trump
2421,biden
2422,biden
2423,biden
2424,biden
2425,biden
2426,biden
2427,biden
2428,trump
2429,biden
2430,trump
2431,biden
2432,biden
2433,trump
2434,trump
2435,trump
2436,trump
2437,biden
2438,trump
2439,trump
2440,trump
2441,biden
2442,trump
2443,trump
2444,biden
2445,biden
2446,trump
2447,biden
2448,trump
2449,trump
2450,trump
2451,biden
2452,biden
2453,trump
2454,biden
2455,biden
2456,biden
2457,biden
2458,biden
2459,biden
2460,trump
2461,trump
2462,biden
2463,trump
2464,trump
2465,trump
2466,trump
2467,trump
2468,trump
2469,trump
2470,trump
2471,biden
2472,trump
2473,biden
2474,biden
2475,biden
2476,biden
2477,biden
2478,trump
2479,trump
2480,trump
2481,trump
2482,biden
2483,biden
2484,biden
2485,trump
2486,trump
2487,trump
2488,trump
2489,trump
2490,trump
2491,biden
2492,biden
2493,biden
2494,trump
2495,biden
2496,biden
2497,biden
